Timestamp,Which meal are you giving feedback for? (Required for context),How would you rate the meal overall? (Required),Main Feedback: What did you like or dislike about the meal? (Required - Crucial for NLP analysis),"Specific Aspect Ratings (1=Poor, 5=Excellent) [Taste]","Specific Aspect Ratings (1=Poor, 5=Excellent) [Quantity]","Specific Aspect Ratings (1=Poor, 5=Excellent) [Hygiene]","Specific Aspect Ratings (1=Poor, 5=Excellent) [Service]","If you faced any specific issues (e.g., inadequate taste, quantity, hygiene, or timing), please describe them.",Any suggestions for improving the mess service overall?
2026/04/26 12:27:54 am GMT+5,Lunch,2,Taste,3,5,5,3,I faced an issue related to mess bill twice. I had to visit everyday for a week to get it fixed,Improve taste
2026/04/26 12:28:13 am GMT+5,Breakfast,5,,2,3,3,4,,
2026/04/26 12:28:28 am GMT+5,Lunch,2,the taste,2,4,2,3,"taste and hygiene
",proper chefs
2026/04/26 12:37:18 am GMT+5,Dinner,2,Majorly the chicken is not cooked well - to hard to break it - it should be cooked for longer time,1,3,4,5,"Taste is very inconsistent ,cooks should be trained to provide better tests especially when the options in the surrounding are limited ",ALA carte should be introduced with mess system - hybrid model and also the coffee machine 
2026/04/26 12:37:24 am GMT+5,Dinner,3,Please from shashlik from menu,3,3,2,1,,
2026/04/26 12:51:38 am GMT+5,Dinner,1,The hygiene in the mess hall is good the food needs to be better.,3,1,4,3,N/A,Improve overall quality.
2026/04/26 12:51:49 am GMT+5,Dinner,1,"Bill is too high, its hard to pay it for me.",5,1,5,2,N/A,Improve overall quality.
2026/04/26 12:52:02 am GMT+5,Breakfast,1,The hygiene in the mess hall is good the food needs to be better.,4,2,5,5,N/A,Improve overall quality.
2026/04/26 12:52:12 am GMT+5,Dinner,2,"Too oily today, I had to remove it myself but still it was too oily.",2,5,1,3,N/A,Improve overall quality.
2026/04/26 12:52:23 am GMT+5,,2,"We shall be allowed to take food outside the mess, especially for breakfast, I have to leave early for my classes and I can't eat in the mess.",1,3,3,3,N/A,Improve overall quality.
2026/04/26 12:52:34 am GMT+5,Lunch,1,Breakfast was fresh and the tea was perfect.,2,3,3,5,N/A,Improve overall quality.
2026/04/26 12:52:44 am GMT+5,Lunch,2,Breakfast was fresh and the tea was perfect.,5,3,5,4,N/A,Improve overall quality.
2026/04/26 12:52:55 am GMT+5,Breakfast,3,"Lunch and dinner shall be charged separately, I don't eat lunch but I have to pay for it.",1,1,3,4,N/A,Improve overall quality.
2026/04/26 12:53:05 am GMT+5,Breakfast,4,"There should be more meat, especially Beef and Mutton",2,2,3,5,N/A,Improve overall quality.
2026/04/26 12:53:15 am GMT+5,Lunch,2,"The food is too plain, it needs more flavor and variety.",1,2,3,5,N/A,Improve overall quality.
2026/04/26 12:53:26 am GMT+5,Dinner,3,The hygiene in the mess hall is good the food needs to be better.,4,2,3,5,N/A,Improve overall quality.
2026/04/26 12:53:37 am GMT+5,Breakfast,2,"Too oily today, I had to remove it myself but still it was too oily.",2,4,4,1,N/A,Improve overall quality.
